part_name,part_number,machine_code,category,location,quantity,unit,min_quantity,stock_breakdown
Infeed Starwheel (สตาร์วีลป้อนขวด),KR-SW-IN-001,lb101,Mechanical,ชั้นวางสต็อก A-1,3,ชิ้น,1,False
Outfeed Starwheel (สตาร์วีลส่งออกขวด),KR-SW-OUT-001,lb101,Mechanical,ชั้นวางสต็อก A-1,2,ชิ้น,1,False
Label Roll LB101 (ม้วนฉลาก Krones),KR-LBL-001,lb101,Consumable,ชั้นวางสต็อก B-1,15,ม้วน,5,False
Hotmelt Glue Block (กาวร้อน),KR-GLU-001,lb101,Consumable,ห้องเก็บสารเคมี,8,กิโลกรัม,2,False
ASI Safety Module AA_ASI_AS_LT,KR-ASI-001,lb101,Electrical,ตู้เก็บชิ้นส่วนไฟฟ้า E-1,1,ชิ้น,1,True
SDC Servo Drive Module,KR-SDC-001,lb101,Electrical,ตู้เก็บชิ้นส่วนไฟฟ้า E-1,0,ชิ้น,1,True
Pressing Belt (สายพานกดฉลาก),KR-BLT-001,lb101,Mechanical,ชั้นวางสต็อก A-2,2,เส้น,1,False
Label Transfer Drum Bearing (ลูกปืน Drum),KR-BRG-001,lb101,Mechanical,ชั้นวางสต็อก A-2,4,ชิ้น,2,False
Servo Motor Cooling Fan,KR-FAN-001,lb101,Electrical,ตู้เก็บชิ้นส่วนไฟฟ้า E-2,2,ชิ้น,1,False
Grease Fuchs Renolit HLT2 (จาระบี Krones),KR-GRS-001,lb101,Lubricant,ห้องเก็บสารเคมี,5,กระปุก,2,False
Synthetic Gear Oil ISO VG 220 (น้ำมันเกียร์),KR-OIL-001,lb101,Lubricant,ห้องเก็บสารเคมี,3,ลิตร,1,False
Label Cutting Blade Krones (ใบมีดตัดฉลาก),KR-BLD-001,lb101,Mechanical,ชั้นวางสต็อก A-2,6,ชิ้น,2,False
Worm Gear Multi-Worm-Control Component,KR-WRM-001,lb101,Mechanical,ตู้ล็อก VIP,1,ชิ้น,1,True
CLX Controller Module (โมดูล PLC),KR-CLX-001,lb101,Electrical,ตู้ล็อก VIP,0,ชิ้น,1,True
Guide Rail LB101 (ราวนำขวด),KR-GRL-001,lb101,Mechanical,ชั้นวางสต็อก A-1,4,เส้น,2,False
Ink Ribbon / Print Ribbon SB101 (ริบบอนพิมพ์),WB-RBN-001,sb101,Consumable,ชั้นวางสต็อก B-2,20,ม้วน,5,False
Label Roll 300mm Core 76mm (ม้วนฉลาก Weber),WB-LBL-001,sb101,Consumable,ชั้นวางสต็อก B-1,25,ม้วน,8,False
Peeler Bar / Peeler Blade (แท่ง Peeler),WB-PLR-001,sb101,Mechanical,ชั้นวางสต็อก C-1,3,ชิ้น,1,False
